,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,dependent5,dependent6,dependent7,dependent8,dependent9,dependent10,
1,i,Loans from Banks / FIs,"Joint Housing Loan from Bank of Baroda, Guwahati joint with spouse 1, 2 74,01,061 74 Lacs+ MSME Loan L/A  21,27,438 21 Lacs+ Car Loan L/A  10,28,424 10 Lacs+","Spouse 1- Joint Housing Loan from Bank of Baroda, Guwahati 22203183  74,01,061 74 Lacs+ Car Loan from SBI Seppa  5,40,000 5 Lacs+ Joint Machinery Loan from Indusind Bank  36,92,000 36 Lacs+ MSME Loan L/A  8,94,797 8 Lacs+ MSME Loan L/A  90,69,487 90 Lacs+ Spouse 2 - Joint Housing Loan, Bank of Baroda, Guwahati 22203183.00  74,01,061 74 Lacs+ Joint Machinery Loan from Indusind Bank 3692000.00  0 SBI Term Loan S/A= 4.00 Crore  3,06,37,475 3 Crore+ GECL/M SME Loan L/A  8,01,417 8 Lacs+ MSME Loan L/A  15,58,004 15 Lacs+ MSME Loan  95,65,201 95 Lacs+",Nil,"MSME Loan L/A 94,17,370 94 Lacs+ GECL/M SME Loan L/A 8,18,341 8 Lacs+ Car Loan L/A  18,33,196 18 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 9,41,86,333 9 Crore+"
2,i,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),"81,00,000 81 Lacs+","2,55,61,000 2 Crore+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 3,36,61,000 3 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 1,05,56,923 1 Crore+","Rs 7,15,60,503 7 Crore+",Nil,"Rs 1,20,68,907 1 Crore+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 9,41,86,333 9 Crore+"
