,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,dependent5,dependent6,dependent7,dependent8,dependent9,dependent10,
1,i,Cash,"50,000 50 Thou+","Spouse 1  50,000 50 Thou+ Spouse 2 1,00,000 1 Lacs+ Spouse 3  50,000 50 Thou+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 2,50,000 2 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","ICICI SB No 03460150xxxxx, Delhi Branch  2,79,848 2 Lacs+ SBI SB No 3023143xxxxx, Itanagar Branch  6,58,067 6 Lacs+ Vijaya Bank, Itanagar Branch, CA No 88010331100xxxxx  4,12,848 4 Lacs+ SBI Sb No 1187652xxxxx, Seppa Branch  19,76,772 19 Lacs+ Bank of Baroda, SB No 0001010001xxxxx, Guwahati Branch  529 5 Hund+","Spouse (1), SBI SB No 1187657xxxxx, Seepa Branch  4,80,608 4 Lacs+ SBI SB No 3029747xxxxx, Itanagar Branch 70,588 70 Thou+ Axis Bank SB No 91701001946xxxxx, Itanagar Branch  8,939 8 Thou+ Spouse (2), SBI SB No 3114694xxxxx, Bhalukpong Branch  39,981 39 Thou+ UCO Bank, SB No 1482010000xxxxx, Itanagar Branch  0*(Value Not Given) SBI, SB No 3088138xxxxx, Ganga Branch  15,447 15 Thou+ Axis Bank, SB No 37901010005xxxxx, Itanagar Branch  12,567 12 Thou+ SBI, Current No 304724xxxxx  3,403 3 Thou+ IDBI Current No 16110200000xxxxx, Itanagar Branch  17,106 17 Thou+ PNB Current No 47830021000xxxxx, Itanagar Branch  32,815 32 Thou+ HDFC Current No 5020000379xxxxx, Itanagar Branch  4,669 4 Thou+ SBI SB No 1144814xxxxx, Bomdila Branch  66,820 66 Thou+ Bank of Baroda Loan No 0001060000xxxxx  0*(Value Not Given) Indusind Bank Loan A/c No. ZCFDLNSXP0102E &A/c No. ZCFDLNSXP0103E  0*(Value Not Given) Waii International Hotel, No 1016000744xxxxx  8,654 8 Thou+ Vijaya Bank Current No 88010030100xxxxx  2,48,072 2 Lacs+ Spouse (3), Axis Bank SB No 92201000771xxxxx, Doimukh Branch  50,000 50 Thou+",Nil,"SBI SB No 3334466xxxxx  28 ICICI SB No 07060150xxxxx, Itanagar Branch  0 Axis Bank SB No 91601004738xxxxx  10,014 10 Thou+ Yes Bank Current No 01508580000xxxxx  2,123 2 Thou+ HDFC Bank, Current No 5020003369xxxxx, Itanagar Branch  4,315 4 Thou+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 44,04,213 44 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"Birla Sun Life Policy No 00739xxxxx  25,00,000 25 Lacs+ Birla Sun Life Policy No 00739xxxxx  25,00,000 25 Lacs+ Birla Sun Life Policy No 00698xxxxx  30,00,000 30 Lacs+ Birla Sun Life Policy No 00620xxxxx  9,91,000 9 Lacs+ India First Life Policy No 7027xxxxx  10,00,000 10 Lacs+ India First Maha Jeeavn Plan Policy No 7027xxxxx  80,00,000 80 Lacs+","Spouse 1- LIC Policy No 44153xxxxx  1,00,000 1 Lacs+",Nil,"Reliance Life Insurance Contract No 1315xxxxx, Super Invest Assure Plan 5.00 lakhs 1,00,000 1 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 1,81,91,000 1 Crore+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)",Nil,"Spouse 1- Scorpio, AR01G5559, Year- 2016  14,00,000 14 Lacs+ Spouse 2- Tata Tipper/Dumper, AR025478, Year- 2016  18,50,000 18 Lacs+ Tata Tipper, AR025768, Year- 2016  22,00,000 22 Lacs+ Tata Mobile, AR029665, Year- 2018  7,50,000 7 Lacs+ Hydraulic Excavat or PC-210-80M, 2 Nos, Year- 2018  1,25,00,000 1 Crore+ Mercedes Benz, AR011-3000, Year- 2017  97,00,000 97 Lacs+ Kobelko Hydraulic Excavator, Year- 2016  40,00,000 40 Lacs+ Vibratory Soil Compact Year- 2013  15,00,000 15 Lacs+ Harley Davidson Motorbike, Year- 2017  12,00,000 12 Lacs+ Spouse 3- Kai, Seltos G1.47 DCT GTX Plus, AR01N5580, Year- 2023 20,00,000 20 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 3,71,00,000 3 Crore+"
8,vii,Jewellery (give details weight value),"Local Ornaments  3,00,000 3 Lacs+ Gold- 5 Tola  1,75,000 1 Lacs+","Spouse 1, Local Ornament 15,00,000 15 Lacs+ Gold- 14.5 Tola  5,00,000 5 Lacs+ Spouse 2, Local Ornaments  10,00,000 10 Lacs+ Gold- 11.5 Tola  4,00,000 4 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 38,75,000 38 Lacs+"
9,viii,"Other assets, such as values of claims / interests","12 Bore SBBL, L.No. III/KWA?161/2001, Date- 22/07/2004  22,000 22 Thou+ 22 Bore Rifle (Cartos)  3,50,000 3 Lacs+ 12 Bore SBBL Made in USA  2,50,000 2 Lacs+","22 Bore Pistol, Arm License No. III/KWA/179/2006, Dtd- 10.05.2006  55,000 55 Thou+ 22 Bore Rifle  1,00,000 1 Lacs+ 22 Bore Revolver  75,000 75 Thou+ Spouse 2, Furniture & Fixture  10,00,000 10 Lacs+ Computers  5,00,000 5 Lacs+ Misc-  3,50,000 3 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 27,02,000 27 Lacs+"
