,0,1,2,3,4,5,6,7,8,9,10
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,dependent5,
1,i,Cash,"2,12,350 2 Lacs+","Spouse 1  1,48,500 1 Lacs+ Spouse 2  98,220 98 Thou+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 4,59,070 4 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Bank, Ganga Itanagar, No 3074546xxxxx  32,349 32 Thou+ SBI Bank, Seppa, No 3834250xxxxx  23,427 23 Thou+ Axis Bank, Itanagar, No 91901001044xxxxx  62,861 62 Thou+","Spouse 1- SBI Bank, Ganga Itanagar, No 1094013xxxxx  1,72,658 1 Lacs+ Spouse 1- HDFC Bank, Nirjuli, No 5010066119xxxxx  11,513 11 Thou+ Spouse 1- Axis Bank, Itanagar, No 9160100201xxxxx 25,956 25 Thou+ Spouse 1- ICICI Bank, Itanagar, No 07060100xxxxx  75,351 75 Thou+ Spouse 2- SBI, Nagarlagun, No 315252xxxxx  4,577 4 Thou+ Spouse 2- ICICI Bank, Itanagar, No 07060100xxxxx  20,00,000 20 Lacs+ Spouse 2- Axis Bank, Itanagar, No 91801008073xxxxx  2,01,123 2 Lacs+",Nil,"Axis Bank, Itanagar, No 37901010004xxxxx 2,641 2 Thou+",Nil,Nil,Nil,Nil,"Rs 26,12,456 26 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,"Spouse 1- Axis Focused Growth Fund, Policy No 9104454xxxxx  61,700 61 Thou+ Spouse 1- Axis Dynamic Equity Fund, Policy No 9104455xxxxx  1,45,230 1 Lacs+ Spouse 1- SBI Mutual Fund (Magnum Equity ESG Fund) Policy No 2092xxxxx  1,01,340 1 Lacs+ Spouse 1- SBI Mutual Fund (SBI Equity Hybrid Fund) Policy No 2092xxxxx  78,350 78 Thou+",Nil,"ICICI Policy No 40756xxxxx  3,29,865 3 Lacs+",Nil,Nil,Nil,"ICICI Policy No 40756xxxxx 3,06,387 3 Lacs+","Rs 10,22,872 10 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,"Spouse 1- Tata AIA (Assured Golden Plan) Policy No 05150xxxxx  4,90,000 4 Lacs+ Spouse 1- LIC (New Endowment) Policy No 48690xxxxx  1,31,210 1 Lacs+ Spouse 1- Aditya Birla Sun Life Childs Future Assured Plan Policy No 08844xxxxx  6,27,000 6 Lacs+ Spouse 1- Bajaj Allianz Life Guaranteed Income, Policy No 052431xxxxx  2,09,002 2 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 14,57,212 14 Lacs+"
6,v,Personal loans/advance given,Nil,"Spouse 1- Personal Loan  2,68,000 2 Lacs+ Spouse 2- Personal Loan  3,12,400 3 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 5,80,400 5 Lacs+"
7,vi,"Motor Vehicles (details of make, etc.)","Toyota Fortuner, 2018, AR01K8001  20,18,200 20 Lacs+ Toyota Fortuner, AR05HM0009  42,90,000 42 Lacs+ Mahindra Alturus, AR01N8001  30,69,000 30 Lacs+ Mahindra Scorpio S9, AR01N0009  15,22,000 15 Lacs+ Hyosung Bike ST7, AAR01E9066  4,94,300 4 Lacs+","Spouse 1- Renault Dsuter RXZ, AR01J8576  6,55,190 6 Lacs+ Spouse 2- Kia Sonet G 1.2 5MT HTK Plus, AR01Q9523  9,25,000 9 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 1,29,73,690 1 Crore+"
8,vii,Jewellery (give details weight value),"Traditional Jewellery (Local Beads)  8,15,000 8 Lacs+","Spouse 1- Traditional Jewellery (Local Beads)  17,20,000 17 Lacs+ Spouse 2- Traditional Jewellery (Local Beads)  18,10,000 18 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 43,45,000 43 Lacs+"
9,viii,"Other assets, such as values of claims / interests","Capital Inverstment in HM Traders  18,35,200 18 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 18,35,200 18 Lacs+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"1,43,74,687 1 Crore+","2,46,47,007 2 Crore+",Nil,"3,32,506 3 Lacs+",Nil,Nil,Nil,"3,06,387 3 Lacs+","Rs 3,96,60,587 3 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 1,43,74,687 1 Crore+","Rs 1,02,72,320 1 Crore+",Nil,"Rs 3,32,506 3 Lacs+",Nil,Nil,Nil,"Rs 3,06,387 3 Lacs+","Rs 2,52,85,900 2 Crore+"
