,Relation Type,PAN Given,Financial Year,Total Income Shown in ITR
0,self,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
1,spouse,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
2,huf,N,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
3,dependent1,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
4,dependent2,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
5,dependent3,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
6,dependent4,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
7,dependent5,N,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
8,dependent6,,,** Nil  ** Nil  ** Nil  ** Nil  ** Nil
9,dependent7,Y,,None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~ None ** Rs 0 ~
