,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"75,000 75 Thou+","85,000 85 Thou+",Nil,"15,000 15 Thou+","10,000 10 Thou+","9,000 9 Thou+","7,000 7 Thou+","Rs 2,01,000 2 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","12,000 12 Thou+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 12,000 12 Thou+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)",Nil,Scooty 0*(Value Not Given) Maruti Van  0*(Value Not Given),Nil,Nil,Nil,Nil,Nil,Rs 0
8,vii,Jewellery (give details weight value),"200 Gms Gold  10,00,000 10 Lacs+","20 Gms Gold  80,000 80 Thou+",Nil,"5 Gms Gold  20,000 20 Thou+","5 Gms Gold  20,000 20 Thou+","5 Gms Gold  20,000 20 Thou+","5 Gms Gold  20,000 20 Thou+","Rs 11,60,000 11 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"10,87,000 10 Lacs+","3,65,000 3 Lacs+",Nil,"35,000 35 Thou+","30,000 30 Thou+","29,000 29 Thou+","27,000 27 Thou+","Rs 15,73,000 15 Lacs+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 10,87,000 10 Lacs+","Rs 1,65,000 1 Lacs+",Nil,"Rs 35,000 35 Thou+","Rs 30,000 30 Thou+","Rs 29,000 29 Thou+","Rs 27,000 27 Thou+","Rs 13,73,000 13 Lacs+"
