,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"1,25,000 1 Lacs+","50,000 50 Thou+",Nil,"10,000 10 Thou+","10,000 10 Thou+",Nil,Nil,"Rs 1,95,000 1 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Bank Branch Pachpedi Masturi No 11568665xxxxx  97,902 97 Thou+ I.D.B.I Bank Branch Bilaspoor No 12710400008xxxxx 22,460 22 Thou+","SBI Bank Branch BilasaPoor No 4034423xxxxx  20,371 20 Thou+",Nil,SBI Bank Branch Bilaspor No 2037688xxxxx  3,"SBI Bank Branch bilaspur No 2037688xxxxx  2,224 2 Thou+",SBI Bank Branch bulasapur No 3958310xxxxx  484 4 Hund+ Bank Of Maharashtra Branch Malhara No 6032210xxxxx  0,"SBI Bilaspur, No 4034545xxxxx  103 1 Hund+ BOB Bilaspur, No 3363010001xxxxx  5,825 5 Thou+ Kotak Mahindra Bank, Bilaspur, No 044598xxxxx  504 5 Hund+","Rs 1,49,876 1 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","TATA Safari Car CG10AP6148 Year 2017  12,23,540 12 Lacs+",Nil,Nil,Nil,"Scooty CG10AV1846 Year 2019  96,000 96 Thou+",Nil,Nil,"Rs 13,19,540 13 Lacs+"
8,vii,Jewellery (give details weight value),Nil,"30Tola Gold 3,00,000 3 Lacs+ 100g silver 12,000 12 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 3,12,000 3 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"14,68,902 14 Lacs+","3,82,371 3 Lacs+",Nil,"10,003 10 Thou+","1,08,224 1 Lacs+",484 4 Hund+,"6,432 6 Thou+","Rs 19,76,416 19 Lacs+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 14,68,902 14 Lacs+","Rs 3,82,371 3 Lacs+",Nil,"Rs 10,003 10 Thou+","Rs 1,08,224 1 Lacs+",Rs 484 4 Hund+,"Rs 6,432 6 Thou+","Rs 19,76,416 19 Lacs+"
