,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"2,25,000 2 Lacs+","1,55,000 1 Lacs+",Nil,"25,000 25 Thou+","11,000 11 Thou+","11,000 11 Thou+","10,000 10 Thou+","Rs 4,37,000 4 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","PDC Bank limbdi  15,753 15 Thou+ SBI Limbdi  19,556 19 Thou+ SBI Jalod Joint a/c with spouse 2,870 2 Thou+","PDC Bank limbdi  4,979 4 Thou+",Nil,"PDC Bank limbdi  18,167 18 Thou+","PDC Bank limbdi  1,76,998 1 Lacs+ BOB Limbdi  5,523 5 Thou+","PDC Bank limbdi  18,550 18 Thou+ SBI Limbdi  1,528 1 Thou+","PDC Bank limbdi  72,304 72 Thou+","Rs 3,36,228 3 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,"SBI General Health insurance policy No 000000002980xxxxx  9,900 9 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 9,900 9 Thou+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Royal Enfield motorcycle GJ20C2222 year 1998  40,000 40 Thou+","Fortuner Car GJ18BQ5222 Year 2021  29,60,000 29 Lacs+ Scorpio Car GJ18BK5222 Year 2018  5,80,000 5 Lacs+",Nil,Nil,"Honda activa GJ0AF5744 Year 2017  30,000 30 Thou+ Suzuki Access GJ20BB5222 Year 2022  87,000 87 Thou+",Nil,Nil,"Rs 36,97,000 36 Lacs+"
8,vii,Jewellery (give details weight value),"110 gm.gold  5,00,000 5 Lacs+","Gold 150 gm.  7,50,000 7 Lacs+ Silver 1 kg  60,000 60 Thou+",Nil,"50 gm. Gold  2,50,000 2 Lacs+ Silver 500 gm.  30,000 30 Thou+","Gold 15 gm.  75,000 75 Thou+",Nil,"Gold 70 gm. 3,50,000 3 Lacs+ 500 gm. silver 30,000 30 Thou+","Rs 20,45,000 20 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"8,03,179 8 Lacs+","45,19,879 45 Lacs+",Nil,"3,23,167 3 Lacs+","3,85,521 3 Lacs+","31,078 31 Thou+","4,62,304 4 Lacs+","Rs 65,25,128 65 Lacs+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 8,03,179 8 Lacs+","Rs 45,19,879 45 Lacs+",Nil,"Rs 3,23,167 3 Lacs+","Rs 3,85,521 3 Lacs+","Rs 31,078 31 Thou+","Rs 4,62,304 4 Lacs+","Rs 65,25,128 65 Lacs+"
