,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"11,63,603 11 Lacs+","5,95,889 5 Lacs+",Nil,"25,000 25 Thou+","10,000 10 Thou+",Nil,"Rs 17,94,492 17 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","PNB Hazaribagh, No 087720010000xxxxx  5,000 5 Thou+ Standard Chartered No 3381027xxxxx  29,906 29 Thou+ HDFC Bank, No 5010017989xxxxx  15,423 15 Thou+ SBI Hzb, No 1107200xxxxx  28,849 28 Thou+ Axis Bank, No 61301010002xxxxx  44,474 44 Thou+ Axis Bank, No 92102000493xxxxx  19,719 19 Thou+ SBI Hzb, No 3255278xxxxx  1,13,493 1 Lacs+ BOI, Saketpuri, No 58902011000xxxxx  7,893 7 Thou+ ICICI Bank, No 25140150xxxxx  51,560 51 Thou+ Indusind Bank, No 10002546xxxxx  13,259 13 Thou+ ICICI Bank, No 25141300xxxxx  5,00,000 5 Lacs+ HDFC Bank, No 9990002511xxxxx  96,594 96 Thou+","SBI Hazaribagh, No 324997xxxxx  88,698 88 Thou+",Nil,"Axis Bank, No 9200107161xxxxx  1,63,726 1 Lacs+ BOI, No 58901011000xxxxx  1,23,600 1 Lacs+ DBS Bank, No 870221000001xxxxx  1,000 1 Thou+ HDFC, No 5010065782xxxxx  30,902 30 Thou+ HDFC, No 9990202110xxxxx  1,84,669 1 Lacs+ HDFC, No 9990700470xxxxx  3,70,675 3 Lacs+ ICICI, No 04890500xxxxx  50,000 50 Thou+",Nil,Nil,"Rs 19,39,440 19 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","Rudra Construction  27,11,245 27 Lacs+ Rudra Techno Project Pvt Ltd  2,75,000 2 Lacs+ Shankar Construction  51,749 51 Thou+","M/S Rudra Construction Hazaribagh  11,63,170 11 Lacs+",Nil,Nil,Nil,Nil,"Rs 42,01,164 42 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"LIC P. No 85960xxxxx  1,89,030 1 Lacs+ LIC P. No 54952xxxxx  3,89,480 3 Lacs+ LIC P. No 54916xxxxx  3,35,592 3 Lacs+ LIC P. No 54019xxxxx  27,248 27 Thou+ LIC P. No 54210xxxxx  5,55,984 5 Lacs+","LIC P. No 54915xxxxx  1,38,321 1 Lacs+ LIC P. No 87185xxxxx  1,85,506 1 Lacs+",Nil,"LIC P. No 87185xxxxx  1,37,204 1 Lacs+",Nil,Nil,"Rs 19,58,365 19 Lacs+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Toyota Fortuner Car, JH02AQ0032, 2017  28,10,000 28 Lacs+ Toyota Hilux, JH02BR0032, 2024  37,15,000 37 Lacs+ MG Hector, JH02BB0101, 2020  18,09,000 18 Lacs+ Honda Activa 125 Scooty, JH02AM5623, 2016  70,000 70 Thou+ Toyota Fortuner Car, JH02T3600, 2011  20,99,000 20 Lacs+",Nil,Nil,"Royal Enfield Hunter 350 Motor Cycle, JH02BM4980, 2023  1,74,430 1 Lacs+",Nil,Nil,"Rs 1,06,77,430 1 Crore+"
8,vii,Jewellery (give details weight value),"Gold 60 gm  4,25,000 4 Lacs+","Gold 250 gm  17,50,000 17 Lacs+ Silver 1 Kg  90,000 90 Thou+",Nil,Nil,Nil,Nil,"Rs 22,65,000 22 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"1,75,53,101 1 Crore+","40,11,584 40 Lacs+",Nil,"12,61,206 12 Lacs+","10,000 10 Thou+",Nil,"Rs 2,28,35,891 2 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 1,75,53,101 1 Crore+","Rs 40,11,584 40 Lacs+",Nil,"Rs 12,61,206 12 Lacs+","Rs 10,000 10 Thou+",Nil,"Rs 2,28,35,891 2 Crore+"
