,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Loans from Banks / FIs,"Apex Bank Bangalore branch 18,33,237 18 Lacs+ PKPS Society Padanur  80,000 80 Thou+ BOB Sindagi  1,82,77,180 1 Crore+",Nil,Nil,Nil,"SBSSN INDI 10,57,671 10 Lacs+ SBSSN INDI 9,53,408 9 Lacs+ SBSSN INDI 10,00,000 10 Lacs+ SBSSN INDI 10,56,356 10 Lacs+ SHIDDHA SHRI SOUHARD NIYAMIT 1,02,57,402 1 Crore+ HDFC  13,66,686 13 Lacs+",Nil,Nil,"Rs 3,58,81,940 3 Crore+"
2,i,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),"2,01,90,417 2 Crore+",Nil,Nil,Nil,"1,56,91,523 1 Crore+",Nil,Nil,"Rs 3,58,81,940 3 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 2,01,90,417 2 Crore+",Nil,Nil,Nil,"Rs 1,56,91,523 1 Crore+",Nil,Nil,"Rs 3,58,81,940 3 Crore+"
