,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"7,63,434 7 Lacs+","24,585 24 Thou+",Nil,"59,000 59 Thou+","31,800 31 Thou+",Nil,Nil,"Rs 8,78,819 8 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SYSSN INDI FD  2,14,342 2 Lacs+ SBSSN INDI FD  2,83,233 2 Lacs+ AXIS BANK  5,38,236 5 Lacs+ BOB SINDAGI  2,54,922 2 Lacs+ CANARA BANK INDI  19,817 19 Thou+ CANARA BANK INDI  2,228 2 Thou+ APEX BANK  20,39,629 20 Lacs+ SBSSN INDI 62,180 62 Thou+ BPSN BILAGI  41,402 41 Thou+ SYSSN INDI  2,009 2 Thou+ SBI BRANCH INDI  27,171 27 Thou+ VDDC BANK 4,616 4 Thou+","SBSSN INDI FD 2,83,233 2 Lacs+ AXIS BANK  79,676 79 Thou+ SBSSN INDI  0 BPSN BILAGO  41,821 41 Thou+",Nil,"SBSSN INDI 2,48,450 2 Lacs+ AXIS BANK 90,630 90 Thou+ SBSSN INDI 0","SBSSN INDI 2,48,450 2 Lacs+ AXIS BANK 0 CANARA BANK  1,183 1 Thou+ SBSSN INDI 14,023 14 Thou+ SBSSN INDI 1,000 1 Thou+ SBSSN INDI 512 5 Hund+ VDDC BANK 11,794 11 Thou+","SBSSN INDI BANK 1,77,464 1 Lacs+ SBSSN INDI 0 SBSSN INDI 0 AXIS BANK  0","SBSSN INDI 1,76,043 1 Lacs+ SBSSN INDI 15,840 15 Thou+","Rs 48,79,904 48 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","SBSSN INDI BANK 5,000 5 Thou+ BPSN BILAGI 5,00,000 5 Lacs+ VDDC BANK 50,000 50 Thou+","SBSSN INDI BANK 3,000 3 Thou+ BPSN BILAGI 5,00,000 5 Lacs+",Nil,"SBSSN INDI BANK 2,000 2 Thou+","SBSSN INDI 3,42,000 3 Lacs+ SHRI SHIDHASHRE SAHOUDRI COPR  2,50,150 2 Lacs+","SBSSN INDI 2,000 2 Thou+","SBSSN INDI 2,000 2 Thou+","Rs 16,56,150 16 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"EXIDE LIFE POLICE  3,28,223 3 Lacs+ MAX LIFE POLICY 52,147 52 Thou+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 3,80,370 3 Lacs+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","INNOVA CAR  25,71,298 25 Lacs+ INNOVA CAR  34,42,191 34 Lacs+",Nil,Nil,Nil,"INNOVA CAR  32,47,233 32 Lacs+",Nil,Nil,"Rs 92,60,722 92 Lacs+"
8,vii,Jewellery (give details weight value),"1450 GMS OF GOLD 7 SILVER  81,08,890 81 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 81,08,890 81 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"1,93,10,779 1 Crore+","9,32,315 9 Lacs+",Nil,"4,00,080 4 Lacs+","41,48,145 41 Lacs+","1,79,464 1 Lacs+","1,93,883 1 Lacs+","Rs 2,51,64,666 2 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 1,93,10,968 1 Crore+","Rs 9,32,315 9 Lacs+",Nil,"Rs 4,00,080 4 Lacs+","Rs 41,48,145 41 Lacs+","Rs 1,79,464 1 Lacs+","Rs 1,93,883 1 Lacs+","Rs 2,51,64,855 2 Crore+"
