,0,1,2,3,4,5,6,7,8,9,10
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,dependent5,
1,i,Cash,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","MDCC Bank, KR Pete  45,469 45 Thou+ MDCC BANK Hosaholalu  19,341 19 Thou+ Karnataka Grameena Bank KR Pete  48,400 48 Thou+ SBI Naguvanahalli  2,000 2 Thou+ Canara Bank, KR Pete  2,650 2 Thou+ Canara Bank, KR Pete  10,788 10 Thou+",Nil,Nil,Nil,Nil,Nil,"Canara Bank, KR Pete  3,203 3 Thou+",Nil,"Rs 1,31,851 1 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","BOB Mutual Fund  5,00,000 5 Lacs+ BOB, KR Pete  1,34,716 1 Lacs+ BOB, KR Pete  10,000 10 Thou+ BOB, KR Pete  1,03,335 1 Lacs+",Nil,Nil,Nil,Nil,Nil,"BOB, KR Pete  1,02,573 1 Lacs+ BOB, KR Pete  1,02,702 1 Lacs+ BOB, KR Pete  13,799 13 Thou+",Nil,"Rs 9,67,125 9 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"LIC-723227189  50,000 50 Thou+ LIC-724288395  1,00,000 1 Lacs+","LIC  1,50,000 1 Lacs+",Nil,Nil,"LIC  5,00,000 5 Lacs+","LIC-726876254  5,00,000 5 Lacs+","LIC -725821879  7,50,000 7 Lacs+ LIC-726125352  2,00,000 2 Lacs+","LIC-724837551  1,50,000 1 Lacs+","Rs 24,00,000 24 Lacs+"
6,v,Personal loans/advance given,"T.J Charitable Trust  18,000 18 Thou+ Anuvinakatte village  5,00,000 5 Lacs+ Haralahalli village  1,80,000 1 Lacs+",Nil,Nil,Nil,Nil,Nil,"K.R, Pete, Kasaba taluk, Chikkonahalli  49,00,000 49 Lacs+",Nil,"Rs 55,98,000 55 Lacs+"
7,vi,"Motor Vehicles (details of make, etc.)","TATA TIPPER  7,36,000 7 Lacs+ Ashok leyland Tipper  13,57,100 13 Lacs+ Ashok leyland Tipper  18,49,100 18 Lacs+ Ashok leyland Tipper  18,49,100 18 Lacs+ Ashok leyland Tipper  18,49,100 18 Lacs+ TATA TIPPER  10,02,359 10 Lacs+ TATA TIPPER  10,02,359 10 Lacs+ TATA INDIGO CAR  5,37,000 5 Lacs+ TOYOTA INNOVA CAR  16,11,000 16 Lacs+ TAPE TRACTOR -2008  4,38,000 4 Lacs+ LET VILL LODER-2018  28,52,828 28 Lacs+","Honda Activa Scooter-2012  50,000 50 Thou+",Nil,Nil,Nil,Nil,"Hundai Creta Car  17,35,900 17 Lacs+ TATA TIPPER-2012  12,00,000 12 Lacs+ TATA TIPPER-2009  7,69,300 7 Lacs+ MAHENDRA ZEEP-2005  3,50,000 3 Lacs+ TATA 207 GOODS Vehicle  4,50,000 4 Lacs+ TOYOTA INNOVA KRISTA-2022  24,57,500 24 Lacs+ HONDA DEO SCOOTER  70,350 70 Thou+ TATA TIPPER  34,43,785 34 Lacs+ TATA TIPPER-2021  34,43,785 34 Lacs+ TATA TIPPER-2021  34,43,785 34 Lacs+ TATA TIPPER-2021  34,43,785 34 Lacs+ HONDA DREAM YUGA SCOOTER  60,000 60 Thou+ HERO HONDA FASHION PLUS BIKE  45,000 45 Thou+ MAHINDRA TRACTOR  6,36,000 6 Lacs+ MAHINDRA BULERO GOODS VEHICLE  5,50,000 5 Lacs+",Nil,"Rs 3,72,33,136 3 Crore+"
8,vii,Jewellery (give details weight value),"100 Gram gold  5,50,000 5 Lacs+","500 gram gold  27,50,000 27 Lacs+ silver ornaments 3 kg  2,04,000 2 Lacs+","25 gram Gold ornaments  1,37,500 1 Lacs+","25 gram gold ornaments  1,37,500 1 Lacs+","25 gram gold ornaments  1,37,500 1 Lacs+","25 gram gold ornaments  1,37,500 1 Lacs+","100 gram Gold ornaments  5,50,000 5 Lacs+","600 gram gold ornaments  33,00,000 33 Lacs+","Rs 79,04,000 79 Lacs+"
9,viii,"Other assets, such as values of claims / interests","TJ Stone Krushing Haralahalli  13,00,00,000 13 Crore+ TJ Petroleum Tendekere  3,50,00,000 3 Crore+ TJ Petroleum Anuvinakatte  2,00,00,000 2 Crore+","TJ Fuel Station, Honnenahalli  2,00,00,000 2 Crore+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 20,50,00,000 20 Crore+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"20,85,55,735 20 Crore+","2,41,68,488 2 Crore+","1,47,452 1 Lacs+","1,45,337 1 Lacs+","6,38,000 6 Lacs+","6,38,000 6 Lacs+","3,08,80,009 3 Crore+","36,15,000 36 Lacs+","Rs 26,87,88,021 26 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 20,23,58,645 20 Crore+","Rs 2,31,54,000 2 Crore+","Rs 1,37,500 1 Lacs+","Rs 1,37,500 1 Lacs+","Rs 6,37,500 6 Lacs+","Rs 6,37,500 6 Lacs+","Rs 2,87,21,467 2 Crore+","Rs 34,50,000 34 Lacs+","Rs 25,92,34,112 25 Crore+"
