,0,1,2,3,4,5,6,7,8,9,10
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,dependent5,
1,i,Cash,"50,000 50 Thou+","1.Kasduri  30,000 30 Thou+ 2. Sridevi  5,000 5 Thou+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 85,000 85 Thou+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","1.Bank of Baroda Vimko Nagar Br., Cr No 2476020000xxxxx cureently  3,511 3 Thou+ 2.BOB SB No 2476010000xxxxx  9,393 9 Thou+ 3.BOB SB No 10003xxxxx Election purpose only 30,000 30 Thou+","1.Bank of Baroda SB No 2476010001xxxxx  2,036 2 Thou+ spouse 2.1.Bank of Baroda SB No 2476010002xxxxx  803 8 Hund+ spouse2.2 SBI SB No 3223674xxxxx  6,277 6 Thou+",Nil,"BOI SB No 2476810001xxxxx  5,000 5 Thou+","BOB CR No 2476010002xxxxx  10,248 10 Thou+","BOB CR No 2476010002xxxxx  4,643 4 Thou+ 2)BOB SB No 2476010002xxxxx  83",Nil,Nil,"Rs 71,994 71 Thou+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"LIC No 71841xxxxx  18,05,188 18 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,Nil,"Rs 18,05,188 18 Lacs+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","TYOTO Fartuner TN03 AC0777 2017  28,21,865 28 Lacs+",Nil,Nil,"TYOTO Fartuner TN03 AC0777 2018  37,08,500 37 Lacs+",Nil,Nil,Nil,Nil,"Rs 65,30,365 65 Lacs+"
8,vii,Jewellery (give details weight value),Nil,"Old Gold Jewellry spouse 560 gram  21,00,000 21 Lacs+ SPOUSE -2 ,400 GRAM GOLD  15,00,000 15 Lacs+ SPOUSE-2, SILVER 5 KG  3,64,000 3 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 39,64,000 39 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"47,19,957 47 Lacs+","40,08,116 40 Lacs+",Nil,"37,13,500 37 Lacs+","10,248 10 Thou+","4,726 4 Thou+",Nil,Nil,"Rs 1,24,56,547 1 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 47,19,957 47 Lacs+","Rs 40,08,116 40 Lacs+",Nil,"Rs 37,13,500 37 Lacs+","Rs 10,248 10 Thou+","Rs 4,726 4 Thou+",Nil,Nil,"Rs 1,24,56,547 1 Crore+"
