,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"33,68,499 33 Lacs+","3,60,901 3 Lacs+",Nil,"5,79,794 5 Lacs+","79,31,990 79 Lacs+",Nil,Nil,"Rs 1,22,41,184 1 Crore+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI, Aurangabad Br., No 1117586xxxxx  6,36,97,683 6 Crore+ UCO Bank, Kolkata Br., No 1740010000xxxxx  4,76,463 4 Lacs+ ICICI Bank, Aurangabad Br., No 20190150xxxxx  4,80,289 4 Lacs+ UBI, Aurangabad Br., No 153001010xxxxx  4,40,809 4 Lacs+ HDFC Bank, Berhampore Br., No 0639193000xxxxx  5,28,863 5 Lacs+ PNB, Berhampore Br., No 446600010006xxxxx  19,63,812 19 Lacs+ PNB, Berhampore Br., No 153020010000xxxxx  100 1 Hund+","SBI Aurangaabad Br., No 1117586xxxxx  5,70,697 5 Lacs+ ICICI Bank, Aurangabad Br., No 20190150xxxxx  2,74,951 2 Lacs+ SBI, Aurangabad Br., No 3384271xxxxx  3,38,989 3 Lacs+ ICICI Bank, Aurangabad Br., No 20190500xxxxx  1,07,994 1 Lacs+ SBI, Aurangabad Br. FD No 3710287xxxxx + No 3013300xxxxx & No 301588xxxxx  66,93,996 66 Lacs+ ICICI Bank, Aurangabad Br., FD No 20191400xxxxx & No 20191300xxxxx  20,59,895 20 Lacs+ UBI, Raghunathganj Br., FD No 046610013xxxxx  7,85,764 7 Lacs+ Recurring Deposit with Post Office, Aurangabad Post Office, A/C.No.9675 to 9689  99,00,000 99 Lacs+",Nil,"SBI, Aurangabad Br., No 3382956xxxxx  56,479 56 Thou+ SBI, Aurangabad Br., No 3468032xxxxx  2,89,588 2 Lacs+ ICICI Bank, Aurangabad Br., No 20190150xxxxx  2,88,426 2 Lacs+","SBI Aurangabad Br., No 3468032xxxxx  61,554 61 Thou+",Nil,Nil,"Rs 8,90,16,352 8 Crore+"
3,iii,"Bonds, Debentures and Shares in companies","Equity Share  8,13,02,360 8 Crore+ Share under Demat  30,42,529 30 Lacs+ Mutual Fund  38,28,000 38 Lacs+ (1)Shiv A Oil, Rs.-23683981/-, (2)Dreamland Construction, Rs.(-3734442)/-, (3)M/s Shiv Solvents, Rs.-450000/-, (4)M/s Shiv Dall Mill, Rs.-45482205/-, Total Value-69616186/- Subtract Value of 3734442/- Total Value after Subtract is Rs.- 69616186-3734442=65881745  6,58,81,745 6 Crore+ Shiv Films  68,380 68 Thou+","Equity Share  3,76,05,000 3 Crore+ Mutual Fund  29,34,940 29 Lacs+ Shiv Rice Mill  2,75,60,051 2 Crore+ Suraj Printing & Co.  17,22,731 17 Lacs+ Mousumi Trading Agency  3,05,637 3 Lacs+ Jahid Tobaco & Company  1,05,028 1 Lacs+ Shiv Flour Mill  3,41,88,073 3 Crore+ Shiv Solvent  4,50,000 4 Lacs+ Agriculture Allied Products  37,97,857 37 Lacs+ M/S Shiv Dall Mill  1,41,11,982 1 Crore+ M/S Mira Bibi  23,77,787 23 Lacs+",Nil,"Equity Share  3,49,55,000 3 Crore+ Other  83,87,986 83 Lacs+",Nil,Nil,Nil,"Rs 32,26,25,086 32 Crore+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"(1)LIP, S.A.9700000/-, Premium Value-565335/-, (2)LIP, S.A.-10000000/-, Premium Value-508860/-,(3)LIP, S.A.-15000000/-, Premium Value-769132/-, (4)LIP, S.A.4800000/-, Premium Value-393072/-, (5)LIP, S.A.-5000000/-, Premium Value-282730/-, (6)LIP, S.A.-2500000/-, Premium Value-282730/-, (7)LIP, S.A.-100000/-, Premium Value-3871/-, Total value of All LIP is Rs.-3341206  33,41,206 33 Lacs+","(1)LIP, S.A.-2500000/-, Premium Value-143242/- (2)LIP, S.A.-4995000/- Premium Value-343266/- (3)LIP, S.A.-4995000/-, Premium Value-338271/- (4)LIP, S.A.-4995000/-, Premium Value-240859, (5)LIP, S.A.-4995000/-, Premium Value-240859/-, (6)LIP, S.A.-150000/-, Premium Value-10657/-, (7)LIP, S.A.-100000/-, Premium Value-4828/-, (8)LIP, S.A.-100000/-, Premium Value-5830/-, Total Value of All LIP is Rs.-1628026/-  16,28,026 16 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 49,69,232 49 Lacs+"
6,v,Personal loans/advance given,"Land Purchase Advance  35,00,000 35 Lacs+ Jangipur Jute Mill Pvt. Ltd.  1,80,00,000 1 Crore+ Shiv Industries (Food) Pvt. Ltd.  1,00,00,000 1 Crore+ Nexoya Builders Pvt. Ltd.  1,49,50,000 1 Crore+","Loan to Calcutta Urology Research Centre Pvt. Ltd.  69,88,909 69 Lacs+",Nil,"Loan to Calcutta Urology Research Centre Pvt. Ltd.  41,90,000 41 Lacs+",Nil,Nil,Nil,"Rs 5,76,28,909 5 Crore+"
7,vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,vii,Jewellery (give details weight value),"Gold 20000 Grm  28,91,215 28 Lacs+","Gold 2200 Grm  31,60,500 31 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 60,51,715 60 Lacs+"
9,viii,"Other assets, such as values of claims / interests","Gun  68,705 68 Thou+ Furniture  1,59,600 1 Lacs+","Furniture  92,000 92 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 3,20,305 3 Lacs+"
