,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Loans from Banks / FIs,"LIC Housing Finance Limited, LAP  46,84,356 46 Lacs+ Canara Bank, Car Loan  5,87,575 5 Lacs+ Canara Bank, KCC  4,97,568 4 Lacs+","Canara Bank, Term Loan  8,90,182 8 Lacs+ LIC Housing Finance Limited, LAP  46,84,356 46 Lacs+ Canara Bank, Term Loan  2,55,686 2 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,15,99,723 1 Crore+"
2,i,Loans due to Individual / Entity,"Smt. Prem Lata  19,15,529 19 Lacs+","Smt. Hemant Kusum  2,80,166 2 Lacs+ Smt. Saroj  2,61,603 2 Lacs+ Shri Shashi Kant  79,000 79 Thou+",Nil,Nil,Nil,Nil,"Rs 25,36,298 25 Lacs+"
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),"76,85,029 76 Lacs+","64,50,994 64 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,41,36,023 1 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),"Rs 76,85,028 76 Lacs+","Rs 64,50,993 64 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,41,36,021 1 Crore+"
