,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"70,000 70 Thou+","20,000 20 Thou+",Nil,Nil,Nil,Nil,"Rs 90,000 90 Thou+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","BOI SB Current, BOB  1,49,300 1 Lacs+","BOB, Agra SB A/c, SBI A/c  7,32,227 7 Lacs+",Nil,Nil,Nil,Nil,"Rs 8,81,527 8 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","Hotel & Restaurant BOB  1,94,60,080 1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,94,60,080 1 Crore+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,"Lic  25,00,000 25 Lacs+",Nil,Nil,Nil,Nil,"Rs 25,00,000 25 Lacs+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Car Audi UP8CK2478-2019  12,87,750 12 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 12,87,750 12 Lacs+"
8,vii,Jewellery (give details weight value),"500gm, Gold  25,00,000 25 Lacs+","50gm Gold  2,50,000 2 Lacs+",Nil,Nil,Nil,Nil,"Rs 27,50,000 27 Lacs+"
9,viii,"Other assets, such as values of claims / interests","Rifle 55,000 55 Thou+ DBBL  20,000 20 Thou+","Pistol  65,000 65 Thou+",Nil,Nil,Nil,Nil,"Rs 1,40,000 1 Lacs+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"2,35,42,130 2 Crore+","35,67,227 35 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,71,09,357 2 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 2,35,42,130 2 Crore+","Rs 35,67,227 35 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,71,09,357 2 Crore+"
